idx,class,conversation

1, 일반, "엄마, 이번 주말에 가족 여행 갈까요? 좋은 생각이네. 어디로 갈까? 제주도 어때요? 비행기 표가 비쌀 것 같은데. 그럼 근교로 갈까? 가평은 어때요? 좋아, 숙소도 알아보고 맛집도 찾아보자. 알겠어요, 제가 찾아볼게요. 그래, 고마워. 이번 여행 정말 기대되네."

2, 일반, "아빠, 주말에 시간 있으세요? 응, 왜 그러니? 같이 낚시 가고 싶어서요. 오, 좋은 생각이구나. 어디로 갈까? 청평호 어때요? 좋아. 장비는 내가 준비할게. 미끼는 제가 살게요. 그래, 고마워. 오랜만에 아빠랑 둘이 가네. 네, 정말 기대돼요!"

3, 일반, "누나, 요즘 어떻게 지내? 바빠서 정신없이 지내. 너는? 나도 학교랑 알바로 바빠. 가족들이랑 시간 보내기 힘들지? 맞아, 다들 각자 바쁘더라고. 이번 주말에 다 같이 영화 보는 건 어때? 좋은 생각이다. 뭐 볼까? 액션 영화 어때? 좋아, 예매는 내가 할게. 간식은 내가 준비할게. 알았어, 기대된다!"

4, 일반, "할머니, 요새 건강은 어떠세요? 허리가 좀 아프구나. 병원에 가보셨어요? 아니, 괜찮을 거야. 제가 모시고 갈까요? 그래주면 고맙지. 내일 아침에 올게요. 알았다, 고마워. 검진 끝나고 맛있는 거 먹으러 가요. 그래, 좋구나. 할머니랑 오랜만에 데이트네요. 그러게, 할미가 기대되는구나."

5, 일반, "형, 이번에 승진했다며? 축하해! 고마워. 네 덕분이야. 내가 뭘 했다고. 항상 응원해줘서 힘이 났어. 당연하지. 형 노력한 걸 나도 잘 알잖아. 고마워. 이번 주말에 시간 돼? 응, 왜? 한턱 쏘고 싶어서. 오, 좋지! 어디서 만날까? 신사동 맛집 어때? 좋아, 기대된다!"

6, 일반, "언니, 이번 주말에 결혼식이지? 응, 그래. 긴장되니? 많이. 도와줄 일 있어? 당연하지. 뭐가 필요해? 들러리 드레스 고르는 거 도와줄래? 그래, 기꺼이. 언제 갈까? 내일 저녁은 어때? 좋아. 7시에 만나자. 고마워, 든든하다. 당연하지. 언니 결혼식, 정말 기대돼."

7, 일반, "아들, 학교생활은 어때? 재밌어요, 아빠. 친구들은 잘 사귀고 있어? 네, 좋은 친구들 많이 사귀었어요. 다행이구나. 공부하는 데 어려움은 없고? 수학이 좀 어려워요. 그렇구나. 아빠가 도와줄까? 정말요? 고마워요, 아빠. 그래, 오늘 저녁에 같이 공부해보자. 네, 기대돼요!"

8, 일반, "여보, 오늘 결혼기념일이야. 기억하고 있었어? 당연하지. 꽃이랑 선물 준비했어. 정말? 고마워. 나도 당신 선물 준비했어. 오, 뭔데? 저녁에 집에 가서 열어봐. 알았어, 기대되네. 오늘 저녁 뭐 먹을까? 레스토랑 예약해뒀어. 와, 멋진데! 사랑해, 여보. 나도 사랑해."

9, 일반, "이모, 오랜만이에요. 잘 지내셨어요? 그래, 너는 어떻게 지내니? 대학 생활 재밌어요. 그렇구나, 학과는 적성에 맞고? 네, 재밌어요. 근데 과제가 많아서 힘들어요. 그래도 열심히 하고 있구나. 방학 때 우리 집에 놀러올래? 정말요? 좋아요! 언제 갈까요? 다음 달 초에 오면 어떨까? 네, 기대할게요. 맛있는 거 많이 해줄게."

10, 일반, "오빠, 생일 축하해! 고마워. 어, 선물도 준비했네? 당연하지. 열어봐. 와, 내가 갖고 싶어 하던 시계잖아. 기억하고 있었구나. 고마워. 마음에 들어? 너무 좋아. 오늘 저녁에 시간 돼? 응, 왜? 맛있는 거 사줄게. 오, 좋지! 어디로 갈까? 네가 좋아하는 곳으로 가자."

11, 일반, "너 이번 주말에 뭐해? 가족 모임이 있어서 못 나갈 것 같아. 아, 그렇구나. 자주 모이는 편이야? 한 달에 한 번 정도? 좋겠다. 우리 집은 다들 바빠서 모이기 힘들어."

12, 일반, "친구야, 요새 표정이 안 좋아 보이던데 무슨 일 있어? 부모님이랑 좀 다퉜어. 왜? 무슨 일로? 진로 문제로... 서로 의견이 안 맞아서. 힘들겠다. 대화로 풀어보는 게 어때?"

13, 일반, "선배, 이번 명절에 고향 내려가세요? 네, 오랜만에 가족들 만나러 가요. 좋으시겠어요. 선물은 준비하셨어요? 아직이요. 뭐가 좋을까요? 부모님께는 건강식품이 좋을 것 같아요."

14, 일반, "동아리 회식 날짜 잡았어? 아직. 다들 가족 일정 때문에 시간 맞추기가 힘들더라고. 그렇구나. 주말보다는 평일 저녁은 어때? 그것도 좋은 생각이네. 한번 물어볼게."

15, 일반, "야, 너 요새 살 좀 찐 것 같던데? 맞아. 할머니가 몸보신하라고 매일 보양식을 해주셔. 부럽다. 우리 할머니는 멀리 사셔서 자주 못 봐. 그래, 가족이 가까이 있다는 게 좋은 점도 있지."

16, 일반, "이번 방학에 뭐할 거야? 가족여행 갈 거야. 어디로? 제주도. 좋겠다. 우리 가족은 다들 시간 맞추기가 힘들어서 여행을 못 가. 그렇구나. 시간 내서 다녀와. 가족이랑 보내는 시간이 소중하지."

17, 일반, "너 요새 왜 이렇게 피곤해 보여? 집에서 동생 돌보느라 힘들어. 부모님이 맞벌이셔서 말이야. 힘들겠다. 그래도 가족을 위해 노력하는 모습이 멋져."

18, 일반, "주말에 뭐했어? 가족들이랑 등산 다녀왔어. 와, 좋았겠다. 다들 시간 맞추기 힘들지 않아? 그래도 한 달에 한 번은 꼭 시간 내려고 노력해. 가족 간의 유대감을 위해서."

19, 일반, "너 요새 표정이 밝아 보여. 무슨 좋은 일 있어? 응, 오랜만에 해외에 계신 언니가 한국에 오셨거든. 오, 그래? 가족이 다 모이니까 좋겠다. 맞아, 오랜만에 가족이 다 모여서 정말 행복해."

20, 일반, "이번 주말에 뭐해? 동생 결혼식이야. 축하해! 들러리 서나? 응, 처음으로 가족 결혼식에서 들러리 서. 긴장되겠다. 그래도 특별한 경험이 될 거야."

21, 일반, "친구야, 요즘 연애는 어떻게 돼가? 별로 잘 안 풀려. 무슨 일 있어? 서로 바빠서 만날 시간이 없어. 그렇구나. 데이트 계획은 세워봤어? 주말에 시간 내서 하려고. 좋은 생각이야. 어디로 갈 거야? 한강공원에 피크닉 가려고. 낭만적이네. 재밌게 다녀와."

22, 일반, "선배, 이번 프로젝트 어떻게 진행되고 있나요? 생각보다 어려움이 많아. 무엇이 가장 힘든가요? 팀원들과의 의견 조율이 쉽지 않아. 그렇군요. 제가 도와드릴 일이 있을까요? 회의 진행을 좀 도와줄 수 있어? 물론이죠. 언제가 좋으세요? 내일 오후 어때? 알겠습니다. 최선을 다해 돕겠습니다."

23, 일반, "동아리 회장님, 다음 행사 준비는 잘 되고 있나요? 응, 대부분 끝났어. 도움이 필요한 부분이 있나요? 사실 홍보 쪽이 좀 부족해. 제가 SNS 홍보를 맡아볼까요? 정말? 그럼 고맙지. 어떤 방식으로 할 건데? 인스타그램이랑 페이스북에 광고 올릴게요. 좋아, 기대할게."

24, 일반, "선생님, 제 진로에 대해 상담 받고 싶어요. 그래, 어떤 고민이 있니? 문과와 이과 중 어느 쪽으로 가야 할지 모르겠어요. 네 적성과 흥미는 어느 쪽에 더 가까워? 글쓰기를 좋아하지만 수학도 재밌어요. 그렇구나. 진로적성검사를 한번 해보는 게 어떨까? 네, 좋아요. 언제 할 수 있을까요? 다음 주 화요일에 시간 괜찮아? 네, 감사합니다."

25, 일반, "후배야, 취업 준비는 잘 되고 있어? 아직 많이 부족해요, 선배님. 특별히 어려운 점이 있니? 자소서 쓰는 게 너무 어려워요. 그렇구나. 내가 첨삭 좀 해줄까? 정말요? 감사합니다! 언제 시간 괜찮으세요? 이번 주말에 카페에서 만나자. 네, 정말 감사합니다. 많이 배우고 싶어요."

26, 일반, "팀장님, 이번 분기 실적이 좋네요. 축하드립니다. 고마워요. 다 여러분 덕분이에요. 저희가 뭘 했다고요. 팀장님 리더십 덕분이죠. 과찬이에요. 이번에 회식하는 게 어떨까요? 좋은 생각이네요. 언제가 좋을까요? 다음 주 금요일은 어떨까요? 좋습니다. 제가 장소 알아볼게요."

27, 일반, "룸메이트야, 우리 기숙사 규칙 좀 정해볼까? 그래, 어떤 걸 정하고 싶어? 청소랑 쓰레기 버리는 날 정했으면 좋겠어. 좋아. 청소는 주말에 같이 하는 건 어때? 좋아. 쓰레기는 요일별로 나눠서 버리자. 그래. 평일은 내가 하고 주말은 네가 할래? 좋아, 그렇게 하자. 다른 건 없어? 지금은 이 정도면 충분할 것 같아."

28, 일반, "선배님, 졸업하신 후 어떻게 지내세요? 회사 다니면서 적응 중이야. 일은 재미있으세요? 배울 점이 많아서 좋아. 힘든 점은 없으세요? 업무량이 많아서 좀 버거워. 그렇군요. 어떻게 극복하고 계세요? 시간 관리를 철저히 하려고 노력 중이야. 저도 참고해야겠어요. 도움이 필요하면 언제든 연락해."

29, 일반, "친구야, 요즘 우울해 보이던데 무슨 일 있어? 가족들이랑 자주 다퉈서 그래. 무슨 일인지 말해줄 수 있어? 내 장래 문제로 의견이 안 맞아. 많이 힘들겠다. 어떻게 해결하고 싶어? 대화로 풀고 싶은데 쉽지 않아. 내가 중재해줄까? 그래 줄래? 고마워. 이번 주말에 만나서 얘기해보자. 응, 정말 고마워."

30, 일반, "아주머니, 안녕하세요. 이사 온 지 얼마 안 됐죠? 네, 한 달 됐어요. 적응은 잘 되고 계신가요? 네, 덕분에요. 혹시 불편한 점 있으면 언제든 말씀해주세요. 감사합니다. 그러고 보니 분리수거 요일을 잘 모르겠어요. 아, 매주 화요일이에요. 내일 아침에 현관 앞에 내놓으면 돼요. 알려주셔서 감사합니다. 좋은 이웃이 되길 바라요."

31, 일반, "가족과 함께하는 시간이 가장 좋을 때는 언제야? 나는 주말에 다 같이 모여서 저녁 먹을 때가 제일 좋아. 나도 그 시간이 제일 행복해!"

32, 일반, "가족과의 갈등이 생겼을 때 어떻게 해결해? 나는 솔직하게 대화하는 게 중요하다고 생각해. 나도 대화가 필요하다고 생각해!"

33, 일반, "형제자매가 있어? 나는 두 명의 형이 있어. 항상 서로 도와주고 의지해. 나도 형제가 있어서 좋았어!"

34, 일반, "부모님과의 관계는 어때? 나는 부모님과 정말 친해. 항상 조언을 해주셔서 고마워. 나도 부모님과의 관계가 좋아!"

35, 일반, "가족과의 추억 중 가장 기억에 남는 건 뭐야? 나는 가족 여행이 정말 기억에 남아. 모두 함께한 시간이 소중해. 나도 여행이 기억에 남아!"

36, 일반, "가족의 전통이나 관습이 있어? 우리 집은 명절마다 다 같이 모여서 음식을 나누는 전통이 있어. 나도 그런 전통이 있어!"

37, 일반, "가족과의 소통에서 가장 중요한 점은 뭐라고 생각해? 나는 서로의 감정을 이해하는 게 중요하다고 생각해. 맞아, 감정 이해가 중요해!"

38, 일반, "가족과의 관계에서 가장 힘든 점은 뭐야? 나는 서로의 기대에 부응하는 게 힘들 때가 있어. 나도 그런 압박감을 느껴!"

39, 일반, "가족과의 시간을 어떻게 보내는 게 좋다고 생각해? 나는 함께 요리하는 게 재미있다고 생각해. 나도 요리하는 게 좋아!"

40, 일반, "가족의 지원이 필요할 때 어떻게 요청해? 나는 솔직하게 말하는 게 제일 좋다고 생각해. 맞아, 솔직함이 중요해!"

41, 일반, "친구와의 관계에서 가장 중요한 점은 뭐라고 생각해? 나는 서로의 신뢰가 가장 중요하다고 생각해. 나도 신뢰가 정말 중요하다고 느껴!"

42, 일반, "새로운 사람과 친해지기 위해 어떤 노력을 해? 나는 먼저 다가가서 대화를 시도해. 나도 그런 방법이 좋다고 생각해!"

43, 일반, "가장 친한 친구와의 갈등이 생겼을 때 어떻게 해결해? 나는 솔직하게 이야기하는 게 중요하다고 생각해. 나도 대화가 필요하다고 느껴!"

44, 일반, "인간관계에서 가장 기억에 남는 순간은 언제였어? 나는 친구와 함께한 여행이 정말 기억에 남아. 나도 그런 순간이 소중해!"

45, 일반, "인간관계에서 가장 힘든 점은 뭐야? 나는 때때로 사람들과의 거리감을 느낄 때가 힘들어. 나도 그런 기분을 느껴!"

46, 일반, "친구와의 소통에서 가장 많이 하는 주제는 뭐야? 우리는 주로 일상 이야기나 취미에 대해 이야기해. 나도 그런 이야기를 많이 해!"

47, 일반, "인간관계에서 가장 큰 배움은 뭐였어? 나는 사람마다 다 다른 생각과 감정을 가지고 있다는 걸 배웠어. 나도 그런 배움을 느껴!"

48, 일반, "친구와의 관계를 유지하기 위해 어떤 노력을 하고 있어? 나는 자주 연락하고 만나려고 해. 나도 그런 노력을 하고 있어!"

49, 일반, "인간관계에서 가장 감사한 점은 뭐야? 나는 항상 나를 지지해주는 친구들이 있어서 고마워. 나도 그 점이 정말 감사해!"

50, 일반, "인간관계에서 가장 큰 기쁨은 뭐야? 나는 친구들과 함께 웃고 즐거운 시간을 보낼 때가 제일 행복해. 나도 그 순간이 제일 좋아!"

51, 일반, "요즘 넷플릭스에서 뭐 재밌게 봤어? '오징어 게임' 봤는데 대박이더라. 진짜? 나는 아직 못 봤어. 한번 볼까 고민 중이었는데. 꼭 봐, 긴장감 넘치고 재밌어. 그래? 그럼 오늘 저녁에 52화 봐야겠다."

52, 일반, "등산 가는 거 어때? 좋아, 어디로 갈까? 북한산 어때? 괜찮아. 몇 시에 만날까? 아침 53시에 만나서 출발하자. 알겠어. 도시락은 내가 준비할게."

53, 일반, "새로 배우고 있는 취미 있어? 응, 요가 배우고 있어. 진짜? 어때? 힘들지만 재밌어. 나도 해볼까? 같이 할래? 좋아, 어디서 배워? 집 근처 요가 스튜디오야. 다음 주부터 같이 다녀볼까?"

54, 일반, "영화 보러 갈래? 좋아, 뭐 보고 싶어? 새로 나온 마블 영화 어때? 난 로맨스 영화가 보고 싶은데. 그럼 각자 보고 싶은 거 따로 볼까? 아니야, 네가 보고 싶은 거 보자. 고마워, 다음엔 네가 고르자."

55, 일반, "요즘 어떤 음악 즐겨 들어? 요즘 재즈에 빠졌어. 오, 멋진데. 어떤 아티스트 좋아해? 마일스 데이비스 정말 좋아해. 나도 들어봐야겠다. 추천 곡 있어? 'Kind of Blue' 앨범 들어봐, 최고야."

56, 일반, "새로 산 게임기 어때? 정말 재밌어. 어떤 게임 하고 있어? 'The Legend of Zelda' 새 작품. 난 그 시리즈 좋아해. 이번엔 오픈월드라 더 재밌어. 나도 해보고 싶다. 언제 한번 같이 할래?"

57, 일반, "콘서트 간다며? 응, BTS 콘서트 가. 와, 부럽다. 티켓 구하기 힘들었겠다. 맞아, 운 좋게 얻었어. 재밌게 다녀와. 고마워, 다음엔 같이 가자."

58, 일반, "요즘 책 읽어? 응, 무라카미 하루키 신작 읽고 있어. 어때? 재미있어? 독특하고 몰입감 있어. 나도 읽어볼까? 추천해, 다 읽으면 빌려줄게."

59, 일반, "DIY 가구 만들어보려고 해. 대단한데, 뭐 만들 거야? 책장 만들어보려고 해. 어렵지 않아? 유튜브 보면서 해볼 거야. 완성되면 사진 좀 보여줘."

60, 일반, "새로운 취미 생겼어? 응, 도자기 만들기 배우고 있어. 와, 멋지다. 어디서 배워? 문화센터에서 강좌 듣고 있어. 재밌겠다. 나도 한번 해볼까? 그래, 다음 학기에 같이 듣자."

61, 일반, "최근에 본 드라마 중에 추천할 만한 거 있어? '더 글로리' 봤는데 몰입도가 장난 아니야. 어떤 내용이야? 학교폭력 피해자의 복수 이야기야. 흥미롭네. 나도 한번 볼게. 꼭 봐, 연기력도 대단해."

62, 일반, "요즘 운동은 어떻게 하고 있어? 집에서 홈트레이닝 하고 있어. 어떤 운동해? 유튜브 보면서 HIIT 운동해. 효과 있어? 응, 체중도 줄고 건강해진 것 같아. 나도 해볼까? 그래, 내일부터 같이 해보자."

63, 일반, "새로 배운 취미 있어? 응, 캘리그라피 배우고 있어. 와, 글씨체 이쁘겠다. 아직 서툴지만 재밌어. 뭐에 쓰려고? 연하장이나 생일 카드 만들어볼까 해. 멋진데, 나도 한번 배워볼까?"

64, 일반, "보드게임 하러 갈래? 좋아. 어떤 게임할 거야? '캐틀러의 개척자들'이라고 전략게임이야. 어렵지 않아? 처음엔 그래도 하다보면 재밌어. 나도 한번 해보고 싶다. 다음엔 너도 불러줄게."

65, 일반, "요즘 취미로 뭐해? 드론 조종하는 걸 배우고 있어. 대단한데! 어디서 배워? 동호회에서 선배들한테 배우고 있어. 재밌겠다. 어렵진 않아? 처음엔 어렵지만 점점 늘고 있어. 나중에 영상 좀 보여줘."

66, 일반, "최근에 본 영화 중에 괜찮은 거 있어? '기생충' 봤는데 정말 대단했어. 오, 나도 보고 싶었는데. 어떤 점이 좋았어? 연출도 좋고 메시지도 강렬해. 이번에 시간 날 때 꼭 봐야겠다. 같이 볼래? 좋아, 언제 갈까?"

67, 일반, "피아노 배운다면서? 응, 한 달 전부터 시작했어. 어떤 곡 연습 중이야? 지금은 간단한 클래식 곡 연습 중이야. 재밌어? 응, 생각보다 흥미롭더라고. 나도 악기 하나 배워볼까 고민 중이야. 추천해, 스트레스 해소에도 좋아."

68, 일반, "요리 클래스 다닌다면서? 응, 이탈리아 요리 배우고 있어. 어떤 요리 배웠어? 파스타랑 리조또 만드는 법 배웠어. 맛있겠다. 다음에 해줄 수 있어? 그래, 다음에 초대할게. 기대된다!"

69, 일반, "사진 찍는 거 좋아한다면서? 응, 요즘 DSLR로 풍경 사진 찍고 있어. 어디서 주로 찍어? 근처 공원이나 산에 가서 찍어. 사진 보여줄 수 있어? 그래, 다음에 만나면 보여줄게. 나도 배워보고 싶은데 어렵지 않아? 처음엔 어렵지만 연습하면 늘어."

70, 일반, "드론 조종 배운다면서? 응, 동호회에서 연습 중이야. 어렵진 않아? 처음엔 힘들었지만 점점 나아지고 있어. 멋지다! 나중에 촬영한 영상 좀 보여줘."

71, 일반, "최근에 인상 깊게 본 영화 있어? '기생충' 봤는데 충격적이었어. 어떤 점이 좋았어? 계급 문제를 다룬 방식이 참신했어. 나도 볼까 고민 중이야. 추천해, 같이 보면 더 재밌을 거야."

72, 일반, "악기 배우고 있다고 들었어. 어떤 거야? 우쿨렐레 시작했어. 생각보다 재미있더라. 어떤 곡 연습해? '오버 더 레인보우' 연습 중이야. 들려줄 수 있어? 조금만 더 연습하면!"

73, 일반, "요리에 관심 있다면서? 응, 최근 태국 요리 배우고 있어. 어떤 요리? 팟타이랑 똠양꿍 만들어봤어. 맛있겠다! 다음에 해줄 수 있어? 그래, 태국 음식 파티 열어줄게."

74, 일반, "사진 찍기 좋아한다고 들었어. 어떤 被사체 선호해? 야경 사진에 빠졌어. 어디서 주로 찍어? 도시의 밤 풍경을 담아. 멋지다! 작품 좀 보여줘. 다음에 전시회 열면 초대할게."

75, 일반, "방탈출 카페 처음 가봤어. 어땠어? 너무 재밌었어, 시간 가는 줄 몰랐지. 어떤 테마였어? 미스터리 살인사건 해결하는 거였어. 나도 가보고 싶은데 같이 갈래? 좋아, 다음 주에 가자."

76, 일반, "전시회 다녀왔다며? 어떤 전시였어? 현대미술 특별전이었어. 인상적인 작품 있었어? 대형 설치미술이 기억에 남아. 재미있었겠다. 다음엔 나도 데려가 줘."

77, 일반, "기타 배운다고 들었어. 어떤 스타일 연습해? 클래식 기타로 시작했어. 어려운 점은? 손가락 움직임이 아직 서툴러. 꾸준히 하면 늘 거야. 언젠간 공연도 보여줘."

78, 일반, "방 인테리어 바꿨다면서? 어떻게 꾸몄어? 북유럽 스타일로 바꿨어. 가구도 새로 샀어? 조명이랑 러그만 바꿨는데도 분위기가 확 달라졌어. 사진 좀 보여줘. 나도 도전해볼까 생각 중이야."

79, 일반, "새로운 팟캐스트 시작했다고? 어떤 내용이야? 독립영화 리뷰하는 채널이야. 재밌겠다! 게스트도 초대해? 가끔 영화감독님들 모시고 있어. 나중에 나도 출연시켜줘."

80, 일반, "방송 댄스 배운다고 들었어. 어떤 곡으로 해? 트와이스 신곡으로 연습 중이야. 힘들진 않아? 체력이 달리지만 재미있어. 영상 찍어서 보여줘. 알겠어, 좀 더 연습하고!"

81, 일반, "캔들 만들기 시작했다며? 어떤 향 만들어? 라벤더랑 바닐라 블렌딩해봤어. 집중력에 도움된대. 선물하기도 좋겠다. 맞아, 다음엔 네 것도 만들어줄게."

82, 일반, "VR 게임 해봤다면서? 어떤 느낌이야? 진짜 다른 세계에 있는 것 같았어. 어지럽진 않아? 처음엔 좀 그랬지만 금방 적응했어. 나도 체험해보고 싶어. 주말에 우리 집에서 해보자."

83, 일반, "이스케이프룸 가본 적 있어? 어떤 테마가 제일 재밌었어? 역사 미스터리 테마가 흥미진진했어. 시간은 얼마나 줘? 보통 84분이야. 다음엔 같이 가자. 좋아, 기대된다!"

84, 일반, "마술 배운다고 들었어. 어떤 마술 연습해? 동전이랑 카드 마술 위주로 해. 보여줄 수 있어? 아직 서툴러서 실수가 많아. 괜찮아, 연습하는 과정도 재밌을 것 같아."

